,y1
10,"tensor([2.2897, 2.2897, 2.2897, 2.2897, 2.2897, 2.3831, 2.3831, 2.3831, 2.3831,         2.3831, 2.3831, 2.3831, 2.3831, 2.3831, 2.3831, 2.3831, 2.3831, 2.3831,         2.3831, 2.3831, 2.3831, 2.3831, 2.9676, 2.9676, 2.9676, 2.9676, 2.9676,         2.9676, 2.9676, 2.9676, 2.9676, 2.9676, 2.9676, 2.9676, 2.9676, 2.9676,         2.9676, 2.9676, 2.9676, 2.9676, 2.9676, 2.9676, 2.9676, 2.9676, 2.9676,         2.9676, 2.9676, 2.9676, 2.9676, 2.9676, 2.9676, 2.9676, 2.9676, 2.9676,         2.9676, 2.9676, 2.9676, 2.9676, 2.9676, 2.9676, 2.9676, 2.9676, 2.9676,         2.9676, 2.9676, 2.9676, 2.9676, 2.9676, 2.9676, 2.9676, 2.9676, 2.9676,         2.9676, 2.9676, 2.9676, 2.9676, 2.9676, 2.9676, 2.9676, 2.9676, 2.9676,         2.9676, 2.9676, 2.9676, 2.9676, 2.9676, 2.9676, 2.9676, 2.9676, 2.9676,         2.9676], dtype=torch.float64)"
11,"tensor([2.1101, 2.1101, 2.5753, 2.5753, 2.5753, 2.5753, 2.5753, 2.5753, 2.5753,         2.5753, 2.5753, 2.5753, 2.6171, 2.8153, 2.8153, 2.8153, 3.0501, 3.3453,         3.3453, 3.3453, 3.3453, 3.3453, 3.5053, 3.5053, 3.5053, 3.5053, 3.5053,         3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374,         3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374,         3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.5374, 3.7330, 3.7330, 3.7330,         3.7330, 3.7330, 3.7330, 3.7330, 3.7350, 3.8343, 3.8343, 3.8343, 4.1669,         4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669,         4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669,         4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669,         4.1669], dtype=torch.float64)"
12,"tensor([2.2620, 2.2620, 2.2620, 2.2620, 2.2620, 2.2620, 2.2620, 2.2620, 2.2620,         2.2620, 2.2620, 2.2620, 2.2620, 2.2620, 2.2620, 2.2620, 2.2620, 2.2620,         2.2620, 2.2620, 2.2620, 2.2620, 2.2620, 2.2620, 2.2620, 2.2620, 2.2620,         2.5622, 2.5622, 2.5622, 2.5622, 2.5622, 2.5622, 2.5622, 2.5622, 2.5622,         2.5622, 2.5622, 2.5622, 2.5622, 2.5622, 2.5622, 2.5622, 2.5622, 2.5622,         2.5622, 2.5622, 2.5622, 2.5622, 2.5622, 2.5622, 2.5622, 2.5622, 2.5622,         2.5622, 2.5622, 2.5622, 2.5622, 2.5622, 2.5622, 2.5622, 2.5622, 2.5622,         2.5622, 2.5622, 3.0862, 3.0862, 3.0862, 3.0862, 3.0862, 3.0862, 3.0862,         3.0862, 3.0862, 3.0862, 3.0862, 3.0862, 3.0862, 3.0862, 3.0862, 3.0862,         3.0862, 3.0862, 3.0862, 3.0862, 3.0862, 3.0862, 3.0862, 3.0862, 3.0862,         3.0862], dtype=torch.float64)"
13,"tensor([1.6801, 1.6801, 2.0113, 2.0113, 2.0113, 2.0113, 2.0113, 2.0113, 2.0113,         2.0113, 2.0113, 2.0113, 2.0113, 2.0113, 2.0113, 2.0113, 2.0113, 2.0113,         2.0113, 2.0113, 2.0113, 2.0113, 2.0113, 2.0113, 2.0113, 2.0113, 2.0113,         2.0113, 2.0113, 2.0113, 2.0113, 2.0113, 2.0113, 2.0113, 2.0113, 2.0113,         2.4237, 2.4237, 2.4237, 2.4237, 2.4237, 2.4237, 2.4237, 2.4237, 2.4237,         2.4237, 2.4237, 2.4237, 2.4237, 2.4237, 2.4237, 2.4237, 2.4237, 2.4237,         2.4237, 2.4237, 2.4237, 2.4237, 2.4237, 2.4237, 2.4237, 2.4237, 2.4237,         2.4237, 2.4237, 2.4237, 2.4237, 2.4237, 2.4237, 2.4237, 2.4237, 2.4237,         2.4237, 2.4237, 2.4592, 2.4592, 3.0081, 3.0081, 3.0081, 3.0081, 3.0081,         3.0081, 3.0081, 3.0081, 3.0081, 3.0081, 3.0081, 3.0081, 3.0081, 3.0081,         3.0081], dtype=torch.float64)"
14,"tensor([2.4223, 2.4223, 2.4223, 2.4223, 2.4223, 2.4223, 2.4223, 2.4223, 2.4223,         2.4223, 2.4223, 2.4223, 2.4223, 2.4223, 2.4223, 2.4223, 2.4223, 2.4223,         2.4223, 2.4223, 2.4223, 2.4223, 2.4223, 2.4223, 2.4223, 2.4223, 2.4223,         2.4223, 2.4223, 2.4223, 2.4223, 2.4223, 2.4223, 2.4223, 2.4223, 2.7826,         2.7826, 2.7826, 2.7826, 2.7826, 2.7826, 2.7826, 2.7826, 2.7826, 2.7826,         2.7826, 2.7826, 2.7826, 2.7826, 2.7826, 2.7826, 2.7826, 2.7826, 2.7826,         2.7826, 2.7826, 2.7826, 2.7826, 2.7826, 2.7826, 2.7826, 2.7826, 2.7826,         2.7826, 2.7826, 2.7826, 2.7826, 2.7826, 2.7826, 2.7826, 2.7826, 2.7826,         2.7826, 2.7826, 2.7826, 2.7826, 2.7826, 2.7826, 2.7826, 2.7826, 2.7826,         2.7826, 2.7826, 2.7826, 2.7826, 2.7826, 2.7826, 2.7826, 2.7826, 2.7826,         2.7826], dtype=torch.float64)"
15,"tensor([2.6492, 2.6492, 2.6492, 2.6492, 2.6492, 2.9510, 2.9510, 2.9510, 2.9510,         2.9510, 2.9510, 2.9510, 2.9510, 2.9510, 2.9510, 2.9510, 2.9510, 2.9510,         2.9510, 2.9510, 2.9510, 2.9510, 2.9510, 2.9510, 2.9510, 3.1798, 3.1798,         3.1798, 3.1798, 3.1798, 3.1798, 3.2235, 3.2235, 3.2235, 3.2235, 4.1669,         4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669,         4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669,         4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669,         4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669,         4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669,         4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669,         4.1669], dtype=torch.float64)"
16,"tensor([2.1596, 2.1596, 2.1596, 2.1596, 2.1596, 2.1596, 2.1596, 2.1596, 2.1596,         2.1596, 2.1596, 2.1596, 2.1596, 2.1596, 2.1596, 2.1596, 2.1596, 2.1596,         2.1596, 2.1596, 2.1596, 2.1596, 2.1596, 2.1596, 2.1596, 2.1596, 2.1596,         2.8754, 2.8754, 2.8754, 2.8754, 2.8754, 2.8754, 2.8754, 2.8754, 2.8754,         2.8754, 2.9591, 2.9591, 2.9591, 2.9591, 2.9591, 2.9591, 2.9591, 2.9591,         2.9591, 2.9591, 2.9591, 2.9591, 2.9591, 2.9591, 2.9591, 2.9591, 2.9591,         2.9591, 2.9591, 2.9591, 2.9591, 2.9591, 2.9591, 2.9591, 2.9591, 2.9591,         2.9591, 2.9591, 2.9591, 2.9591, 2.9591, 2.9591, 2.9591, 2.9591, 2.9591,         2.9591, 2.9591, 2.9591, 2.9591, 2.9591, 2.9591, 2.9591, 2.9591, 2.9591,         2.9591, 2.9591, 2.9591, 2.9591, 2.9591, 2.9591, 2.9591, 2.9591, 2.9591,         2.9591], dtype=torch.float64)"
17,"tensor([2.4363, 2.4363, 2.4823, 2.4823, 2.4823, 2.5004, 2.5157, 2.5758, 2.5758,         2.5758, 2.7570, 2.7570, 2.7570, 2.9647, 2.9647, 3.7077, 3.7398, 3.7398,         3.7398, 3.7398, 3.7398, 3.7398, 3.7398, 3.7398, 3.7398, 3.7398, 3.7398,         3.7398, 3.7398, 3.7398, 3.7398, 3.7398, 3.7398, 3.7398, 3.7398, 3.7398,         3.7398, 3.7398, 3.7398, 3.7398, 3.7398, 3.7398, 3.7398, 3.7398, 3.7398,         3.7398, 3.9216, 3.9216, 3.9216, 3.9802, 3.9802, 4.1669, 4.1669, 4.1669,         4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669,         4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669,         4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669,         4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669, 4.1669,         4.1669], dtype=torch.float64)"
18,"tensor([2.3454, 2.3454, 2.3454, 2.3454, 2.3454, 2.3454, 2.3454, 2.3454, 2.3454,         2.3454, 2.4773, 2.4773, 2.4773, 2.7096, 2.7096, 2.7096, 2.7096, 2.7096,         2.7096, 2.7096, 2.7096, 2.7096, 2.7096, 2.7096, 2.7096, 2.7096, 2.7096,         2.7096, 2.7096, 2.7096, 2.7096, 2.7096, 2.7096, 2.7096, 2.7096, 2.7096,         2.7096, 2.7096, 2.7096, 2.7096, 2.7096, 2.7096, 2.7096, 2.7096, 2.7096,         2.7096, 2.7096, 2.7096, 2.7096, 2.7096, 2.7096, 2.7096, 2.7096, 2.7096,         2.7096, 2.7096, 2.7096, 2.8379, 2.8379, 2.8379, 2.8379, 2.8379, 2.8379,         2.8379, 2.8379, 2.8379, 2.8379, 2.8379, 2.8379, 2.8379, 2.8379, 2.8379,         2.8379, 2.8379, 2.8379, 2.8379, 2.8379, 2.8379, 2.8379, 2.8379, 2.8379,         2.8379, 2.8379, 2.8379, 2.8379, 2.8379, 2.8379, 2.8379, 2.8379, 2.8379,         2.8379], dtype=torch.float64)"
19,"tensor([0.8878, 2.3198, 2.7148, 2.7148, 2.7148, 2.7148, 2.7148, 2.7148, 2.7148,         2.7148, 2.7148, 2.7148, 2.9628, 2.9628, 3.1653, 3.2697, 3.3995, 3.3995,         3.3995, 3.3995, 3.3995, 3.3995, 3.3995, 3.3995, 3.3995, 3.3995, 3.3995,         3.3995, 3.3995, 3.3995, 3.3995, 3.3995, 3.3995, 3.3995, 3.3995, 3.3995,         3.3995, 3.3995, 3.3995, 3.3995, 3.3995, 3.3995, 3.3995, 3.3995, 3.3995,         3.3995, 3.3995, 3.3995, 3.3995, 3.3995, 3.3995, 3.3995, 3.3995, 3.4927,         3.4927, 3.4927, 3.4927, 3.4927, 3.4927, 3.4927, 3.4927, 3.4927, 3.6281,         3.6281, 3.6281, 3.6281, 3.6281, 3.6281, 3.6281, 3.6281, 3.6281, 3.6281,         3.6281, 3.6281, 3.6281, 3.6281, 3.7316, 3.7316, 3.7316, 3.7633, 3.7633,         3.7633, 3.7633, 3.7633, 3.7633, 3.7633, 3.7633, 3.7633, 3.7633, 3.7633,         3.7633], dtype=torch.float64)"
