,y1
10,"tensor([ 7.6521,  7.6521,  7.6521,  7.6521,  7.6521,  7.8271,  8.7761,  8.7761,
         8.7761,  8.7761,  8.7761,  8.7761,  8.7761,  8.7761,  8.7761,  8.7761,
         8.7761,  8.7761,  8.7761,  8.7761,  8.7761,  8.7761,  8.7761,  8.7761,
         8.7761,  8.7761,  8.7761,  8.7761,  8.7761,  8.7761,  8.7761,  8.7761,
         8.7761,  8.7761,  8.7761,  8.7761,  8.7761,  8.7761,  8.7761,  8.7761,
         8.7761,  8.7761,  8.7761,  8.7761,  8.7761,  8.7761,  8.7761,  8.7761,
         8.7761,  8.7761,  8.7761,  8.7761,  8.7761,  8.7761,  8.7761,  8.7761,
         8.7761,  8.7761,  8.7761,  8.7761,  8.7761,  8.7761,  8.7761,  8.7761,
         8.7761,  8.7761,  8.8289,  8.8289,  8.8289,  8.8289,  8.8289,  8.8289,
         8.8289,  8.8289,  9.6129, 10.0631, 10.0631, 10.0631, 10.0631, 10.0631,
        10.0631, 10.0631, 10.0631, 10.0631, 10.9800, 10.9800, 10.9800, 10.9800,
        10.9800, 10.9800, 10.9800], dtype=torch.float64)"
11,"tensor([ 9.3888,  9.3888,  9.3888,  9.3888,  9.3888,  9.3888,  9.3888,  9.3888,
         9.3888,  9.3888,  9.3888,  9.3888,  9.3888,  9.3888,  9.3888,  9.3888,
         9.3888,  9.3888,  9.3888,  9.3888,  9.3888,  9.3888,  9.3888,  9.3888,
         9.3888,  9.3888,  9.3888,  9.3888,  9.3888,  9.3888,  9.3888, 10.3459,
        10.3459, 10.3459, 10.3459, 10.3459, 10.3459, 10.3459, 10.3459, 10.3459,
        10.3459, 10.3459, 10.3459, 10.3459, 10.3459, 10.3459, 10.3459, 10.3459,
        10.3459, 10.3459, 10.3459, 10.3459, 10.3459, 10.3459, 10.3459, 10.3459,
        10.3459, 10.3459, 10.3459, 10.3459, 10.3459, 10.3459, 10.3459, 10.6219,
        10.6219, 10.6219, 10.6219, 10.6219, 10.6219, 10.6219, 10.6219, 10.6219,
        10.6219, 10.6219, 10.6219, 10.6219, 10.6219, 10.6219, 10.6219, 10.6219,
        10.6219, 10.6219, 10.6219, 10.6219, 10.6219, 10.6219, 10.6219, 10.6219,
        10.6219, 10.6219, 10.6219], dtype=torch.float64)"
12,"tensor([ 7.6374,  7.6374,  7.6374,  7.6374,  9.0335,  9.0335,  9.2479,  9.2479,
         9.2479,  9.2479,  9.2479,  9.2479,  9.4307,  9.4307,  9.4307,  9.4307,
         9.4307,  9.4307,  9.4307,  9.4307,  9.4307,  9.4307,  9.4307,  9.7250,
         9.7250,  9.7250,  9.7857, 10.7065, 10.7065, 10.7065, 10.7065, 10.7065,
        10.7065, 10.7065, 10.7065, 10.7065, 10.7065, 10.7065, 10.7065, 10.7065,
        10.7065, 10.7065, 10.7065, 10.7065, 10.7065, 10.7065, 10.7065, 10.7065,
        10.7065, 10.7065, 10.7065, 10.7065, 10.7065, 10.7065, 10.7065, 10.7065,
        10.7065, 10.7065, 10.7065, 10.7065, 10.7065, 10.7065, 10.7065, 10.7065,
        10.7065, 10.7065, 10.7065, 10.7065, 10.7065, 10.7065, 10.7065, 10.7065,
        10.7065, 10.7065, 10.7065, 10.7065, 10.7065, 10.7065, 10.7065, 10.7065,
        10.7065, 10.7065, 10.7065, 10.7065, 10.7065, 10.7065, 10.7065, 10.7065,
        10.7065, 10.7065, 10.7065], dtype=torch.float64)"
13,"tensor([ 7.9569, 11.0248, 11.0248, 11.0248, 11.0248, 11.0248, 11.0248, 11.0248,
        11.0248, 11.0248, 11.0248, 11.0248, 11.0248, 11.0248, 11.0248, 11.0248,
        11.0248, 11.0248, 11.0248, 11.0248, 11.0248, 11.0248, 11.0248, 11.0248,
        11.0248, 11.0248, 11.0248, 11.0248, 11.0248, 11.0248, 11.0248, 11.0248,
        11.0248, 11.0248, 11.0248, 11.0248, 11.0248, 11.0248, 11.0248, 11.0248,
        11.0248, 11.0248, 11.0248, 11.0248, 11.0248, 11.0248, 11.0248, 11.0248,
        11.0248, 11.0248, 11.0248, 11.0248, 11.0248, 11.0248, 11.0248, 11.0248,
        11.0248, 11.0248, 11.0248, 11.0248, 11.0248, 11.0248, 11.0248, 11.0248,
        11.0248, 11.0248, 11.0248, 11.0248, 11.0248, 11.0248, 11.0248, 11.0248,
        11.0248, 11.0248, 11.0248, 11.0248, 11.0248, 11.0248, 11.0248, 11.0248,
        11.0248, 11.0248, 11.0248, 11.0248, 11.0248, 11.0248, 11.0248, 11.0248,
        11.0248, 11.0248, 11.0248], dtype=torch.float64)"
14,"tensor([5.1114, 5.1114, 5.1114, 5.1114, 5.1114, 9.0365, 9.0365, 9.0365, 9.1117,
        9.1117, 9.1117, 9.1117, 9.1117, 9.1117, 9.1117, 9.1117, 9.1117, 9.1117,
        9.1117, 9.1117, 9.1117, 9.1117, 9.1117, 9.1117, 9.1117, 9.1117, 9.1117,
        9.1117, 9.1117, 9.1117, 9.1117, 9.1117, 9.1117, 9.1117, 9.1117, 9.1117,
        9.1117, 9.1117, 9.1117, 9.1117, 9.1117, 9.1117, 9.1117, 9.1117, 9.1117,
        9.1117, 9.1117, 9.1117, 9.1117, 9.1117, 9.1117, 9.1117, 9.1117, 9.1117,
        9.1117, 9.1117, 9.1117, 9.1117, 9.1117, 9.1117, 9.1117, 9.1117, 9.1117,
        9.1117, 9.1117, 9.1117, 9.1117, 9.1117, 9.1117, 9.1117, 9.1117, 9.1117,
        9.1117, 9.1117, 9.1117, 9.1117, 9.1117, 9.1117, 9.1117, 9.1117, 9.1117,
        9.1117, 9.1117, 9.1117, 9.1117, 9.1117, 9.1117, 9.1117, 9.1117, 9.1117,
        9.1117], dtype=torch.float64)"
15,"tensor([8.2297, 8.2297, 8.2297, 8.2297, 8.2297, 8.2297, 8.2297, 8.2297, 8.2297,
        8.2297, 8.2297, 8.4154, 9.6052, 9.6052, 9.6052, 9.6052, 9.6052, 9.6052,
        9.6052, 9.6052, 9.6052, 9.6052, 9.6052, 9.6052, 9.6052, 9.6052, 9.6052,
        9.6052, 9.6052, 9.6052, 9.6052, 9.6052, 9.6052, 9.6052, 9.6052, 9.6052,
        9.6052, 9.6052, 9.6052, 9.6052, 9.6052, 9.6052, 9.6052, 9.6052, 9.6052,
        9.6957, 9.6957, 9.6957, 9.6957, 9.6957, 9.6957, 9.6957, 9.6957, 9.6957,
        9.6957, 9.6957, 9.6957, 9.6957, 9.6957, 9.6957, 9.6957, 9.6957, 9.6957,
        9.6957, 9.6957, 9.6957, 9.6957, 9.6957, 9.6957, 9.6957, 9.6957, 9.6957,
        9.6957, 9.6957, 9.6957, 9.6957, 9.6957, 9.6957, 9.6957, 9.6957, 9.6957,
        9.6957, 9.6957, 9.6957, 9.6957, 9.6957, 9.6957, 9.6957, 9.6957, 9.6957,
        9.6957], dtype=torch.float64)"
16,"tensor([10.3112, 10.3112, 10.3112, 10.3112, 10.3112, 10.3112, 10.3112, 10.3112,
        10.3112, 10.3112, 10.3112, 10.3112, 10.3112, 10.3112, 10.3112, 10.3112,
        10.3112, 10.3112, 10.3112, 10.3112, 10.3112, 10.3112, 10.3112, 10.3112,
        10.3112, 10.3112, 10.3112, 10.3112, 10.3112, 10.3112, 10.3112, 10.3112,
        10.3112, 10.3112, 10.3112, 10.3112, 10.3112, 10.3112, 10.3112, 10.3112,
        10.3112, 10.3112, 10.3112, 10.3112, 10.3112, 10.3112, 10.3112, 10.3112,
        10.3112, 10.3112, 10.3112, 10.3112, 10.3112, 10.3112, 10.3112, 10.3112,
        10.3112, 10.3112, 10.3112, 10.3112, 10.3112, 10.3112, 10.3112, 10.3112,
        10.3112, 10.3112, 10.3112, 10.3112, 10.3112, 10.3112, 10.3112, 10.3112,
        10.3112, 10.3112, 10.3112, 10.3112, 10.3112, 10.3112, 10.3112, 10.3112,
        10.3112, 10.3112, 10.3112, 10.3112, 10.3112, 10.3112, 10.3112, 10.3112,
        10.3112, 10.3112, 10.3112], dtype=torch.float64)"
17,"tensor([6.1750, 6.1750, 6.1750, 6.1750, 9.7629, 9.7629, 9.7629, 9.7629, 9.7629,
        9.7629, 9.7629, 9.7629, 9.7629, 9.7629, 9.7629, 9.7629, 9.7629, 9.7629,
        9.7629, 9.7629, 9.7629, 9.7629, 9.7629, 9.7629, 9.7629, 9.7629, 9.7629,
        9.7629, 9.7629, 9.7629, 9.7629, 9.7629, 9.7629, 9.7629, 9.7629, 9.7629,
        9.7629, 9.7629, 9.7629, 9.7629, 9.7629, 9.7629, 9.7629, 9.7629, 9.7629,
        9.7629, 9.7629, 9.7629, 9.7629, 9.7629, 9.7629, 9.7629, 9.7629, 9.7629,
        9.7629, 9.7629, 9.7629, 9.7629, 9.7629, 9.7629, 9.7629, 9.7629, 9.7629,
        9.7629, 9.7629, 9.7629, 9.7629, 9.7629, 9.7629, 9.7629, 9.7629, 9.7629,
        9.7629, 9.7629, 9.7629, 9.7629, 9.7629, 9.7629, 9.7629, 9.7629, 9.7629,
        9.7629, 9.7629, 9.7629, 9.7629, 9.7629, 9.7629, 9.7629, 9.7629, 9.7629,
        9.7629], dtype=torch.float64)"
18,"tensor([ 2.9753,  2.9753,  2.9753,  2.9753,  5.8137,  5.8137,  5.8137,  5.8137,
         5.8137,  5.8137,  5.8137,  5.8137,  5.8627,  5.8627,  5.8627, 10.5169,
        10.5169, 10.5169, 10.5169, 10.5169, 10.5169, 10.5169, 10.5169, 10.5169,
        10.5169, 10.5169, 10.5169, 10.5169, 10.5169, 10.5169, 10.5169, 10.5169,
        10.5169, 10.5169, 10.5169, 10.5169, 10.5169, 10.5169, 10.5169, 10.5169,
        10.5169, 10.5169, 10.5169, 10.5169, 10.5169, 10.5169, 10.5169, 10.5169,
        10.5169, 10.5169, 10.5169, 10.9729, 10.9729, 10.9729, 10.9729, 10.9729,
        10.9729, 10.9729, 10.9729, 10.9729, 10.9729, 10.9729, 10.9729, 10.9729,
        10.9729, 10.9729, 10.9729, 10.9729, 10.9729, 10.9729, 10.9729, 10.9729,
        10.9729, 10.9729, 10.9729, 10.9729, 10.9729, 10.9729, 10.9729, 10.9729,
        10.9729, 10.9729, 10.9729, 10.9729, 10.9729, 10.9729, 10.9729, 10.9729,
        10.9729, 10.9729, 10.9729], dtype=torch.float64)"
19,"tensor([ 6.9988,  6.9988,  6.9988,  6.9988,  6.9988,  6.9988,  6.9988,  6.9988,
         6.9988,  6.9988,  7.6206,  7.6206,  7.6206,  7.6206, 10.5514, 10.5514,
        10.5514, 10.5514, 10.5514, 10.5514, 10.5514, 10.5514, 10.5514, 10.5514,
        10.5514, 10.5514, 10.5514, 10.5514, 10.5514, 10.5514, 10.5514, 10.5514,
        10.5514, 10.5514, 10.5514, 10.5514, 10.5514, 10.5514, 10.5514, 10.5514,
        10.5514, 10.5514, 10.5514, 10.5514, 10.5514, 10.5514, 10.5514, 10.5514,
        10.5514, 10.5514, 10.5514, 10.5514, 10.5514, 10.5514, 10.5514, 10.5514,
        10.5514, 10.5514, 10.5514, 10.5514, 10.5514, 10.5514, 10.5514, 10.5514,
        10.5514, 10.5514, 10.5514, 10.5514, 10.5514, 10.5514, 10.5514, 10.5514,
        10.5514, 10.5514, 10.5514, 10.5514, 10.5514, 10.5514, 10.5514, 10.5514,
        10.5514, 10.5514, 10.5514, 10.5514, 10.5514, 10.5514, 10.5514, 10.5514,
        10.5514, 10.5514, 10.5514], dtype=torch.float64)"
