,y1
10,"tensor([-88.3987, -88.3987, -88.3987, -86.7485, -86.7485, -86.7485, -86.7485,
        -86.7485, -86.7485, -86.7485, -86.7485, -86.7485, -86.7485, -86.7485,
        -86.7485, -86.7485, -86.7485, -86.7485, -86.7485, -86.7485, -86.7485,
        -86.7485, -86.7485, -86.7485, -86.7485, -86.7485, -85.4986, -85.4986,
        -85.4986, -73.8662, -73.8662, -73.8662, -73.8662, -73.8662, -70.1914,
        -70.1914, -68.8541, -68.1216, -65.1427, -65.1427, -64.9738, -64.9738,
        -61.0186, -60.0605, -60.0605, -60.0605, -49.5619, -49.5619, -49.5619,
        -49.5619, -44.5219, -43.1088, -43.1088, -43.1088, -43.1088, -43.1088,
        -43.1088, -43.1088, -43.1088, -43.1088, -43.1088, -43.1088, -43.1088,
        -43.1088, -36.2477, -36.2477, -36.2477, -36.2477, -36.2477, -36.2477,
        -36.2477, -36.2477, -36.2477, -36.2477, -36.2477, -36.2477, -36.2477,
        -36.2477, -36.2477, -36.2477, -36.2477, -36.2477, -36.2477, -36.2477,
        -36.2477, -36.2477, -36.2477, -36.2477, -36.2477, -36.2477, -36.2477],
       dtype=torch.float64)"
11,"tensor([-84.0096, -84.0096, -84.0096, -84.0096, -84.0096, -84.0096, -70.3910,
        -70.3910, -70.3910, -70.3910, -70.3910, -70.3910, -70.3910, -70.3910,
        -70.3910, -70.3910, -70.3910, -70.3910, -70.3910, -70.3910, -70.3910,
        -70.3910, -70.3910, -70.3910, -70.3910, -70.3910, -70.3910, -70.3910,
        -70.3910, -70.3910, -70.3910, -70.3910, -70.3910, -70.3910, -70.3910,
        -70.3910, -70.3910, -70.3910, -70.3910, -70.3910, -70.3910, -70.3910,
        -70.3910, -70.3910, -70.3910, -70.3910, -70.3910, -70.3910, -70.3910,
        -70.3910, -70.3910, -70.3910, -70.3910, -70.3910, -70.3910, -70.3910,
        -70.3910, -70.3910, -70.3910, -70.3910, -70.3910, -70.3910, -70.3910,
        -70.3910, -70.3910, -70.3910, -70.3910, -70.3910, -70.3910, -70.3910,
        -70.3910, -70.3910, -70.3910, -70.3910, -70.3910, -70.3910, -70.3910,
        -70.3910, -70.3910, -70.3910, -70.3910, -70.3910, -70.3910, -70.3910,
        -70.3910, -70.3910, -70.3910, -70.3910, -70.3910, -70.3910, -70.3910],
       dtype=torch.float64)"
12,"tensor([-62.7878, -62.7878, -62.7878, -62.7878, -62.7878, -62.7878, -62.7878,
        -62.7878, -62.7878, -62.7878, -62.7878, -62.7878, -62.7878, -62.7878,
        -62.7878, -62.7878, -62.7878, -62.7878, -62.7878, -62.7878, -62.7878,
        -62.7878, -62.7878, -62.7878, -62.7878, -62.7878, -62.7878, -62.7878,
        -62.7878, -62.7878, -62.7878, -62.7878, -62.7878, -62.7878, -62.7878,
        -62.7878, -62.7878, -62.7878, -62.7878, -62.7878, -62.7878, -62.7878,
        -62.7878, -62.7878, -62.7878, -62.7878, -62.7878, -62.7878, -62.7878,
        -62.7878, -62.7878, -62.7878, -62.7878, -62.7878, -62.7878, -62.7878,
        -62.7878, -62.7878, -62.7878, -62.7878, -62.7878, -62.7878, -62.7878,
        -62.7878, -62.7878, -62.7878, -62.7878, -62.7878, -62.7878, -62.7878,
        -62.7878, -62.7878, -62.7878, -62.7878, -62.7878, -62.7878, -62.7878,
        -62.7878, -62.7878, -62.7878, -62.7878, -62.7878, -62.7878, -62.7878,
        -62.7878, -62.7878, -62.7878, -62.7878, -62.7878, -62.7878, -62.7878],
       dtype=torch.float64)"
13,"tensor([-85.4986, -85.4986, -85.4986, -85.4986, -85.2739, -79.4736, -71.1619,
        -65.7494, -62.4154, -56.7168, -49.9795, -49.9795, -41.9059, -32.7168,
        -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168,
        -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168,
        -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168,
        -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168,
        -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168,
        -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168,
        -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168,
        -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168,
        -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168,
        -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168,
        -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168, -32.7168],
       dtype=torch.float64)"
14,"tensor([-60.7613, -60.7613, -60.7613, -60.7613, -60.7613, -60.7613, -60.7613,
        -60.7613, -60.7613, -60.7613, -60.7613, -60.7613, -60.7613, -60.7613,
        -60.7613, -60.7613, -60.7613, -60.7613, -60.7613, -60.7613, -60.7613,
        -60.7613, -60.7613, -60.7613, -60.7613, -60.7613, -60.7613, -60.7613,
        -60.7613, -55.7155, -55.7155, -55.7155, -55.7155, -55.7155, -55.7155,
        -55.7155, -55.7155, -55.7155, -55.7155, -55.7155, -55.7155, -55.7155,
        -55.7155, -55.7155, -55.7155, -55.7155, -55.7155, -55.7155, -55.7155,
        -55.7155, -55.7155, -55.7155, -55.7155, -55.7155, -55.7155, -55.7155,
        -55.7155, -55.7155, -55.7155, -55.7155, -55.7155, -55.7155, -55.7155,
        -55.7155, -55.7155, -55.7155, -55.7155, -55.7155, -55.7155, -55.7155,
        -55.7155, -55.7155, -55.7155, -55.7155, -55.7155, -55.7155, -55.7155,
        -55.7155, -55.7155, -55.7155, -55.7155, -55.7155, -55.7155, -55.7155,
        -55.7155, -55.7155, -55.7155, -55.7155, -55.7155, -55.7155, -55.7155],
       dtype=torch.float64)"
15,"tensor([-73.5168, -73.5168, -73.5168, -73.5168, -73.5168, -73.5168, -73.5168,
        -67.9190, -67.7357, -67.7357, -67.7357, -67.7357, -67.7357, -67.7357,
        -67.7357, -67.7357, -67.7357, -67.7357, -67.7357, -67.7357, -67.7357,
        -67.7357, -67.7357, -67.7357, -67.7357, -67.7357, -67.7357, -67.7357,
        -67.7357, -67.7357, -67.7357, -54.2083, -54.2083, -54.2083, -54.2083,
        -54.2083, -54.2083, -54.2083, -54.2083, -54.2083, -54.2083, -54.2083,
        -54.2083, -54.2083, -54.2083, -54.2083, -54.2083, -54.2083, -54.2083,
        -54.2083, -54.2083, -54.2083, -54.2083, -54.2083, -54.2083, -54.2083,
        -54.2083, -54.2083, -54.2083, -54.2083, -54.2083, -54.2083, -54.2083,
        -54.2083, -54.2083, -54.2083, -54.2083, -54.2083, -54.2083, -54.2083,
        -54.2083, -54.2083, -54.2083, -54.2083, -54.2083, -54.2083, -54.2083,
        -54.2083, -54.2083, -54.2083, -54.2083, -54.2083, -54.2083, -54.2083,
        -54.2083, -54.2083, -54.2083, -54.2083, -54.2083, -54.2083, -54.2083],
       dtype=torch.float64)"
16,"tensor([-76.3968, -76.3968, -76.3968, -76.3968, -76.3968, -76.3968, -66.1373,
        -66.1373, -66.1373, -66.1373, -66.1373, -66.1123, -66.1123, -66.1123,
        -60.3235, -60.3235, -60.3235, -60.3235, -60.3235, -60.3235, -60.3235,
        -60.3235, -60.3235, -60.3235, -60.3235, -60.3235, -60.3235, -60.3235,
        -60.3235, -60.3235, -60.3235, -60.3235, -60.3235, -60.3235, -60.3235,
        -60.3235, -60.3235, -60.3235, -60.3235, -60.3235, -60.3235, -60.3235,
        -60.0461, -60.0461, -60.0461, -60.0461, -60.0461, -60.0461, -60.0461,
        -60.0461, -60.0461, -60.0461, -60.0461, -60.0461, -60.0461, -60.0461,
        -60.0461, -60.0461, -60.0461, -60.0461, -58.1078, -58.1078, -58.1078,
        -58.1078, -58.1078, -58.1078, -58.1078, -58.1078, -50.4595, -50.0736,
        -47.5824, -47.5824, -47.5824, -47.5824, -47.5824, -47.5824, -47.5824,
        -47.5824, -47.5824, -47.5824, -47.5824, -47.5824, -47.5824, -47.5824,
        -47.5824, -45.5894, -42.7325, -38.1830, -38.1830, -38.1830, -38.1830],
       dtype=torch.float64)"
17,"tensor([-84.1190, -73.2672, -73.2672, -73.2672, -73.2672, -73.2672, -73.2672,
        -73.2672, -73.2672, -73.2672, -73.2672, -73.2672, -73.2672, -73.2672,
        -73.2672, -73.2672, -73.2672, -73.2672, -73.2672, -73.2672, -73.2672,
        -73.2672, -73.2672, -73.2672, -73.2672, -73.2672, -73.2672, -73.2672,
        -73.2672, -73.2672, -73.2672, -73.2672, -73.2672, -73.2672, -73.2672,
        -73.2672, -73.2672, -73.2672, -73.2672, -73.2672, -73.2672, -73.2672,
        -73.2672, -73.2672, -73.2672, -73.2672, -73.2672, -73.2672, -73.2672,
        -73.2672, -73.2672, -73.2672, -73.2672, -73.2672, -73.2672, -73.2672,
        -73.2672, -73.2672, -73.2672, -73.2672, -73.2672, -73.2672, -73.2672,
        -73.2672, -73.2672, -73.2672, -73.2672, -73.2672, -73.2672, -73.2672,
        -73.2672, -73.2672, -70.7165, -70.7165, -70.7165, -70.7165, -70.7165, 
        -73.2672, -73.2672, -70.7165, -70.7165, -70.7165, -70.7165, -70.7165,
        -70.7165, -65.8829, -65.8829, -65.8829, -65.8829, -65.8829, -65.8829], dtype=torch.float64)"
18,"tensor([-87.9456, -87.9456, -87.9456, -70.7165, -70.7165, -70.7165, -70.7165,
        -70.7165, -70.7165, -70.7165, -70.7165, -70.7165, -70.7165, -70.7165,
        -70.7165, -70.7165, -70.7165, -70.7165, -70.7165, -70.7165, -70.7165,
        -70.7165, -70.7165, -70.7165, -70.7165, -70.7165, -70.7165, -70.7165,
        -70.7165, -70.7165, -70.7165, -70.7165, -70.7165, -70.7165, -70.7165,
        -70.7165, -70.7165, -70.7165, -70.7165, -70.7165, -70.7165, -70.7165,
        -70.7165, -70.7165, -70.7165, -70.7165, -70.7165, -70.7165, -70.7165,
        -70.7165, -70.7165, -70.7165, -70.7165, -70.7165, -70.7165, -70.7165,
        -70.7165, -70.7165, -70.7165, -70.7165, -70.7165, -70.7165, -70.7165,
        -70.7165, -70.7165, -70.7165, -70.7165, -70.7165, -70.7165, -70.7165,
        -70.7165, -70.7165, -70.7165, -70.7165, -70.7165, -70.7165, -70.7165, 
        -70.7165, -70.7165, -70.7165, -70.7165, -70.7165, -70.7165, -70.7165,
        -70.7165, -70.7165, -70.7165, -70.7165, -70.7165, -70.7165,  -65.8829],
       dtype=torch.float64)"
19,"tensor([-92.0429, -90.8534, -90.8534, -90.8534, -90.8534, -90.8534, -90.8534,
        -90.8534, -90.8534, -90.8534, -90.8534, -90.8534, -90.8534, -90.8534,
        -89.7926, -89.7926, -89.7926, -89.7926, -89.7926, -89.7926, -89.7926,
        -88.4467, -77.8234, -77.8234, -77.8234, -77.8234, -77.8234, -77.8234,
        -64.3661, -64.3661, -64.3661, -64.3661, -56.2906, -56.2906, -56.2906,
        -56.2906, -56.2906, -56.2906, -56.2906, -56.2906, -56.2906, -56.2906,
        -56.2906, -56.2906, -56.2906, -56.2906, -56.2906, -56.2906, -56.2906,
        -56.2906, -56.2906, -56.2906, -56.2906, -56.2906, -56.2906, -42.2390,
        -42.2390, -42.2390, -42.2390, -42.2390, -42.2390, -42.2390, -41.7667,
        -40.9152, -40.9152, -39.8218, -39.8218, -39.8218, -39.8218, -39.8218,
        -39.8218, -39.8218, -39.8218, -39.8218, -39.8218, -39.8218, -39.8218,
        -39.8218, -39.8218, -39.8218, -39.8218, -38.1830, -38.1830, -38.1830,
        -38.1830, -38.1830, -38.1830, -38.1830, -38.1830, -38.1830, -38.1830],
       dtype=torch.float64)"
