,y1
10,"tensor([3.8600, 3.8600, 3.8600, 3.8600, 3.8600, 3.8600, 3.8600, 3.8600, 3.8600,
        3.8600, 3.8600, 3.8600, 3.8600, 3.8600, 3.8600, 3.8600, 3.8600, 3.8600,
        3.8600, 3.8600, 3.8600, 3.8600, 3.8600, 3.8600, 3.8600, 3.8600, 3.8600,
        3.8600, 3.8600, 3.8600, 3.8600, 3.8600, 4.0000, 4.0000, 4.4900, 4.4900,
        4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900,
        4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900,
        4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900,
        4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900,
        4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900,
        4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900,
        4.4900], dtype=torch.float64)"
11,"tensor([3.7200, 3.7200, 3.7200, 3.7200, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500,
        4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500,
        4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500,
        4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500,
        4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500,
        4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500,
        4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500,
        4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500,
        4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500,
        4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500, 4.2500,
        4.2500], dtype=torch.float64)"
12,"tensor([3.8000, 3.8000, 3.8000, 3.8000, 4.2800, 4.2800, 4.2800, 4.2800, 4.2800,
        4.2800, 4.2800, 4.2800, 4.2800, 4.2800, 4.2800, 4.2800, 4.2800, 4.2800,
        4.2800, 4.2800, 4.2800, 4.2800, 4.2800, 4.2800, 4.2800, 4.2800, 4.2800,
        4.2800, 4.2800, 4.2800, 4.2800, 4.2800, 4.2800, 4.2800, 4.2800, 4.2800,
        4.2800, 4.2800, 4.2800, 4.2800, 4.2800, 4.2800, 4.2800, 4.2800, 4.2800,
        4.2800, 4.2800, 4.2800, 4.2800, 4.2800, 4.2800, 4.2800, 4.2800, 4.2800,
        4.2800, 4.2800, 4.2800, 4.2800, 4.2800, 4.2800, 4.2800, 4.2800, 4.2800,
        4.2800, 4.2800, 4.2800, 4.2800, 4.2800, 4.2800, 4.2800, 4.2800, 4.2800,
        4.2800, 4.2800, 4.2800, 4.2800, 4.2800, 4.2800, 4.2800, 4.2800, 4.2800,
        4.2800, 4.2800, 4.2800, 4.2800, 4.2800, 4.2800, 4.2800, 4.2800, 4.2800,
        4.2800], dtype=torch.float64)"
13,"tensor([3.5000, 3.5000, 3.5000, 3.5000, 3.5000, 3.5000, 4.5000, 4.5000, 4.5000,
        4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000,
        4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000,
        4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000,
        4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000,
        4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000,
        4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000,
        4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000,
        4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000,
        4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000, 4.5000,
        4.5000], dtype=torch.float64)"
14,"tensor([3.4600, 3.4600, 3.4600, 3.4600, 3.4600, 3.4600, 4.0200, 4.0200, 4.0200,
        4.0200, 4.0200, 4.0200, 4.0200, 4.0200, 4.0200, 4.0200, 4.0200, 4.0200,
        4.0200, 4.0200, 4.0200, 4.0200, 4.0200, 4.0200, 4.0200, 4.0200, 4.0200,
        4.0200, 4.0200, 4.0200, 4.0200, 4.0200, 4.0200, 4.0200, 4.0200, 4.0200,
        4.0200, 4.0200, 4.0200, 4.0200, 4.0200, 4.0200, 4.0200, 4.0200, 4.0200,
        4.0200, 4.0200, 4.0200, 4.0200, 4.0200, 4.0200, 4.0200, 4.0200, 4.0200,
        4.0200, 4.0200, 4.0200, 4.0200, 4.0200, 4.0200, 4.0200, 4.0200, 4.0200,
        4.0200, 4.0200, 4.0200, 4.0200, 4.0200, 4.0200, 4.0200, 4.0200, 4.0200,
        4.0200, 4.0200, 4.0200, 4.0200, 4.0200, 4.0200, 4.0200, 4.0200, 4.0200,
        4.0200, 4.0200, 4.0200, 4.0200, 4.0200, 4.0200, 4.0200, 4.0200, 4.0200,
        4.0200], dtype=torch.float64)"
15,"tensor([4.1500, 4.4000, 4.4000, 4.4000, 4.4000, 4.4000, 4.4000, 4.4000, 4.4000,
        4.4000, 4.4000, 4.4000, 4.4000, 4.4000, 4.4000, 4.4000, 4.4000, 4.4000,
        4.4000, 4.4000, 4.4000, 4.4000, 4.4000, 4.4000, 4.4000, 4.4000, 4.4000,
        4.4000, 4.4000, 4.4000, 4.4000, 4.4000, 4.4000, 4.4000, 4.4000, 4.4000,
        4.4000, 4.4000, 4.4000, 4.4000, 4.4000, 4.4000, 4.4000, 4.4000, 4.4000,
        4.4000, 4.4000, 4.4000, 4.4000, 4.4000, 4.4000, 4.4000, 4.4000, 4.4000,
        4.4000, 4.4000, 4.4000, 4.4000, 4.4000, 4.4000, 4.4000, 4.4000, 4.4000,
        4.4000, 4.4000, 4.4000, 4.4000, 4.4000, 4.4000, 4.4000, 4.4000, 4.4000,
        4.4000, 4.4000, 4.4000, 4.4000, 4.4000, 4.4000, 4.4000, 4.4000, 4.4000,
        4.4000, 4.4000, 4.4000, 4.4000, 4.4000, 4.4000, 4.4000, 4.4000, 4.4000,
        4.4000], dtype=torch.float64)"
16,"tensor([4.1400, 4.1400, 4.1400, 4.4200, 4.4200, 4.4200, 4.4900, 4.4900, 4.4900,
        4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900,
        4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900,
        4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900,
        4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900,
        4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900,
        4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900,
        4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900,
        4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900,
        4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900,
        4.4900], dtype=torch.float64)"
17,"tensor([3.3700, 3.3700, 3.3700, 3.3700, 3.3700, 3.3700, 3.3700, 3.3700, 3.3700,
        3.3700, 3.3700, 3.3700, 4.2400, 4.2400, 4.2400, 4.2400, 4.2400, 4.2400,
        4.2400, 4.2400, 4.2400, 4.2400, 4.2400, 4.2400, 4.2400, 4.2400, 4.2400,
        4.2400, 4.2400, 4.2400, 4.2400, 4.2400, 4.2400, 4.2400, 4.2400, 4.2400,
        4.2400, 4.2400, 4.2400, 4.2400, 4.2400, 4.2400, 4.2400, 4.2400, 4.2400,
        4.2400, 4.2400, 4.2400, 4.2400, 4.2400, 4.2400, 4.2400, 4.2400, 4.2400,
        4.2400, 4.2400, 4.2400, 4.2400, 4.2400, 4.2400, 4.2400, 4.2400, 4.2400,
        4.2400, 4.2400, 4.2400, 4.2400, 4.2400, 4.2400, 4.2400, 4.2400, 4.2400,
        4.2400, 4.2400, 4.2400, 4.2400, 4.2400, 4.2400, 4.2400, 4.2400, 4.2400,
        4.2400, 4.2400, 4.2400, 4.3700, 4.3700, 4.3700, 4.3700, 4.3700, 4.3700,
        4.3700], dtype=torch.float64)"
18,"tensor([2.9200, 4.2600, 4.2600, 4.2600, 4.2600, 4.2600, 4.2600, 4.2600, 4.2600,
        4.2600, 4.2600, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900,
        4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900,
        4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900,
        4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900,
        4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900,
        4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900,
        4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900,
        4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900,
        4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900, 4.4900,
        4.4900], dtype=torch.float64)"
19,"tensor([3.8900, 3.8900, 3.8900, 3.8900, 3.8900, 3.8900, 3.8900, 3.8900, 3.8900,
        3.8900, 3.8900, 3.8900, 3.8900, 3.8900, 3.8900, 3.8900, 3.8900, 3.8900,
        3.8900, 3.8900, 3.8900, 3.8900, 3.8900, 3.8900, 3.8900, 3.8900, 4.0000,
        4.0000, 4.0000, 4.0000, 4.0000, 4.0000, 4.0000, 4.0000, 4.0000, 4.0000,
        4.0000, 4.0000, 4.0000, 4.0000, 4.0000, 4.0000, 4.0000, 4.0000, 4.0000,
        4.0000, 4.0000, 4.0000, 4.0000, 4.0000, 4.0000, 4.0000, 4.0500, 4.0500,
        4.0500, 4.0500, 4.0500, 4.0500, 4.0500, 4.0500, 4.0500, 4.0500, 4.0500,
        4.0500, 4.0500, 4.0500, 4.0500, 4.0500, 4.0500, 4.0500, 4.0500, 4.0500,
        4.0500, 4.0500, 4.0500, 4.0500, 4.0500, 4.0500, 4.0500, 4.0500, 4.0500,
        4.0500, 4.0500, 4.0500, 4.0500, 4.0500, 4.0500, 4.0500, 4.0500, 4.0500,
        4.0500], dtype=torch.float64)"
